ID,Name,Semester ,Maths,English,Physics,Computer Science
1,Kelcie,2,5,14,14,40
2,Mayer,2,3,80,71,48
3,Bondy,2,66,64,54,4
4,Muriel,2,11,37,98,10
5,Nickolaus,2,76,16,5,98
6,Yoshiko,2,39,17,31,50
7,Matthieu,2,28,64,41,45
8,Duncan,2,23,36,18,63
9,Daryl,2,17,77,81,38
10,Reese,2,25,73,23,41
11,Aida,2,13,4,42,86
12,Maddi,2,70,42,82,61
13,Clemmy,2,99,46,14,17
14,Katheryn,2,73,97,25,36
15,Corrinne,2,40,93,6,5
16,Paddie,2,3,7,57,16
17,Nydia,2,28,51,31,5
18,Hersch,2,39,72,100,12
19,Jodi,2,96,99,9,71
20,Libbey,2,84,21,92,65
21,Kelcy,2,60,92,44,90
22,Yolande,2,31,75,28,33
23,Renelle,2,40,50,67,8
24,Blinni,2,66,2,77,22
25,Bryan,2,56,84,4,72
26,Dill,2,82,17,20,27
27,Sadye,2,65,89,66,93
28,Charlotta,2,57,42,3,23
29,Kim,2,48,74,74,25
30,Glory,2,28,1,64,96
31,Arleen,2,54,17,64,23
32,Anthia,2,16,99,91,14
33,Rycca,2,31,11,63,52
34,Josefina,2,20,28,83,88
35,Davie,2,91,42,98,51
36,Christos,2,40,31,39,7
37,Nicko,2,54,43,3,37
38,Cecilia,2,69,27,56,41
39,Olimpia,2,60,99,72,22
40,Donnamarie,2,3,28,12,50
41,Ellsworth,2,42,39,56,47
42,Rosalia,2,18,3,65,61
43,Bekki,2,8,30,72,20
44,Gwenora,2,48,71,45,71
45,Nev,2,39,58,44,17
46,Arielle,2,17,83,28,14
47,Chlo,2,68,25,48,16
48,Barth,2,4,80,96,4
49,Osbourne,2,79,86,10,88
50,Waiter,2,88,84,5,37
51,Chas,2,23,8,71,3
52,Mercedes,2,12,67,37,61
53,Faye,2,35,70,60,7
54,Remington,2,33,34,52,84
55,Chrysa,2,31,34,25,98
56,Chelsae,2,99,76,82,91
57,Dewain,2,85,8,50,58
58,Ivory,2,16,8,36,96
59,Ganny,2,87,73,16,90
60,Erinn,2,44,12,79,31
