ID,Name,Semester ,Maths,English,Physics,Computer Science
1,Parnell,3,100,31,58,87
2,Tad,3,48,17,77,50
3,Bunny,3,20,23,77,26
4,Demeter,3,80,88,40,100
5,Augustine,3,62,78,33,71
6,Melicent,3,80,4,52,3
7,Dorene,3,98,66,76,82
8,Evangelin,3,28,99,40,62
9,Kathryn,3,21,24,32,14
10,Addia,3,9,49,2,52
11,Beale,3,4,1,2,60
12,Sharai,3,81,59,71,15
13,Randie,3,5,16,69,76
14,Karee,3,70,11,71,8
15,Matelda,3,14,41,31,16
16,Johann,3,82,37,59,57
17,Baxter,3,87,75,60,46
18,Dani,3,82,33,72,88
19,Nye,3,84,95,39,5
20,Blinnie,3,84,45,30,73
21,Dominica,3,53,80,19,97
22,Kendall,3,74,83,4,23
23,Rivy,3,26,47,46,57
24,Lanette,3,56,44,87,99
25,Vincenz,3,41,11,98,99
26,Cookie,3,3,5,1,46
27,Sarajane,3,14,35,67,29
28,Rhodie,3,60,41,8,69
29,Wait,3,87,7,22,23
30,Angela,3,53,81,86,42
31,Elinore,3,22,33,4,46
32,Rubin,3,42,66,86,30
33,Tammi,3,28,88,95,95
34,Lou,3,84,9,92,30
35,Sharline,3,48,18,14,75
36,Anton,3,74,85,13,47
37,Cissy,3,46,41,30,45
38,Alon,3,13,18,17,100
39,Cesare,3,51,72,63,69
40,Etti,3,50,48,11,5
41,Tish,3,62,2,69,11
42,Orlan,3,42,65,80,13
43,Anthony,3,68,96,61,62
44,Karleen,3,91,52,23,69
45,Rodd,3,27,44,29,70
46,Niel,3,44,59,86,97
47,Alard,3,24,25,48,54
48,Renato,3,2,67,97,44
49,Gertruda,3,48,57,67,24
50,Rosalinda,3,71,54,22,95
51,Neel,3,61,60,68,26
52,Todd,3,14,41,97,67
53,Muriel,3,9,68,97,57
54,Teodora,3,1,96,96,42
55,Tynan,3,41,68,48,89
56,Chuck,3,50,91,58,47
57,Silvio,3,23,26,34,1
58,Matt,3,18,1,84,10
59,Erv,3,64,14,13,10
60,Mack,3,86,25,42,79
